,title,rating,ratings_total,price,link,category
97,Tree Hut Vitamin C Shea Sugar Body Scrub - 18oz,4.8,1482.0,7.99,https://www.target.com/p/tree-hut-vitamin-c-shea-sugar-body-scrub-18oz/-/A-79753808,Personal Care
98,Dial Antibacterial Deodorant Gold Bar Soap - 3pk - 4oz each,,,2.79,https://www.target.com/p/dial-antibacterial-deodorant-gold-bar-soap-3pk-4oz-each/-/A-13344933,Personal Care
99,Colgate Cavity Protection Travel Size Fluoride Toothpaste - 2.5oz,4.6,294.0,0.99,https://www.target.com/p/colgate-cavity-protection-travel-size-fluoride-toothpaste-2-5oz/-/A-75574886,Personal Care
100,Gillette Satin Care Ultra Sensitive Women's Shave Gel - 7oz,4.7,748.0,2.39,https://www.target.com/p/gillette-satin-care-ultra-sensitive-women-s-shave-gel-7oz/-/A-15089626,Personal Care
101,Softsoap Antibacterial Liquid Hand Soap Pump - Clean &#38; Protect - Cool Splash - 11.25 fl oz,4.4,289.0,2.49,https://www.target.com/p/softsoap-antibacterial-liquid-hand-soap-pump-clean-38-protect-cool-splash-11-25-fl-oz/-/A-80164512,Personal Care
102,Oral-B Complete SatinFloss Dental Floss Mint - 50m/2pk,4.3,602.0,4.99,https://www.target.com/p/oral-b-complete-satinfloss-dental-floss-mint-50m-2pk/-/A-13958218,Personal Care
103,Contour Medium Toothbrush - up &#38; up&#8482;,4.3,202.0,0.79,https://www.target.com/p/contour-medium-toothbrush-up-38-up-8482/-/A-11600415,Personal Care
104,Oral-B Healthy Clean Toothbrush Soft Bristles - 1ct,4.5,541.0,0.99,https://www.target.com/p/oral-b-healthy-clean-toothbrush-soft-bristles-1ct/-/A-14898224,Personal Care
105,Dove Beauty Sensitive Skin Nourishing Body Wash - 22 fl oz,,,6.99,https://www.target.com/p/dove-beauty-sensitive-skin-nourishing-body-wash-22-fl-oz/-/A-11695275,Personal Care
106,Crest + Scope Complete Whitening Toothpaste Minty Fresh - 5.4oz,,,3.19,https://www.target.com/p/crest-scope-complete-whitening-toothpaste-minty-fresh-5-4oz/-/A-13953936,Personal Care
107,Milk and Honey Liquid Hand Soap - 56oz - up &#38; up&#8482;,4.6,951.0,3.99,https://www.target.com/p/milk-and-honey-liquid-hand-soap-56oz-up-38-up-8482/-/A-51523995,Personal Care
108,Oral-B Kids&#39; Spaced Themed Manual Toothbrush - 4ct,4.8,280.0,2.99,https://www.target.com/p/oral-b-kids-39-spaced-themed-manual-toothbrush-4ct/-/A-83388518,Personal Care
109,Dr Teal&#39;s Relax &#38; Relief Eucalyptus &#38; Spearmint Pure Epsom Bath Salts - 3lb,,,5.89,https://www.target.com/p/dr-teal-39-s-relax-38-relief-eucalyptus-38-spearmint-pure-epsom-bath-salts-3lb/-/A-13417445,Personal Care
110,Citrus Grove Liquid Hand Soap - 10 fl oz - Smartly&#8482;,4.5,1153.0,0.99,https://www.target.com/p/citrus-grove-liquid-hand-soap-10-fl-oz-smartly-8482/-/A-77592715,Personal Care
111,St. Ives Oatmeal &#38; Shea Butter Plant-Based Natural Body Wash Soap - 22 fl oz,4.6,773.0,3.99,https://www.target.com/p/st-ives-oatmeal-38-shea-butter-plant-based-natural-body-wash-soap-22-fl-oz/-/A-76841044,Personal Care
112,Crest + Scope Outlast Complete Whitening Toothpaste - Mint - 5.4oz,,,2.89,https://www.target.com/p/crest-scope-outlast-complete-whitening-toothpaste-mint-5-4oz/-/A-15885868,Personal Care
113,eos Shea Better Shave Cream - Vanilla Bliss - 7 fl oz,4.5,898.0,3.99,https://www.target.com/p/eos-shea-better-shave-cream-vanilla-bliss-7-fl-oz/-/A-13729178,Personal Care
114,ACT Kids Wild Watermelon Anticavity Fluoride Rinse - 16.9 fl oz,4.7,644.0,4.49,https://www.target.com/p/act-kids-wild-watermelon-anticavity-fluoride-rinse-16-9-fl-oz/-/A-52504730,Personal Care
115,Dove Beauty Refreshing Cucumber &#38; Green Tea Body Wash Pump - 34 fl oz,4.7,1535.0,9.99,https://www.target.com/p/dove-beauty-refreshing-cucumber-38-green-tea-body-wash-pump-34-fl-oz/-/A-16314873,Personal Care
116,ACT Kids Toothpaste Bubblegum - 4.6oz,4.7,456.0,2.99,https://www.target.com/p/act-kids-toothpaste-bubblegum-4-6oz/-/A-51096843,Personal Care
117,ACT Kids Bubblegum Blowout Fluoride Rinse - 16.9oz,4.7,901.0,4.49,https://www.target.com/p/act-kids-bubblegum-blowout-fluoride-rinse-16-9oz/-/A-11146819,Personal Care
118,Dr Teal&#39;s Relax &#38; Relief Eucalyptus and Spearmint Foaming Bubble Bath - 34 fl oz,4.8,510.0,5.89,https://www.target.com/p/dr-teal-39-s-relax-38-relief-eucalyptus-and-spearmint-foaming-bubble-bath-34-fl-oz/-/A-13983294,Personal Care
